class_date,course_type,level_category,language,predicted_q
2018-02-26 03:30:00.000,Private,True Beginner,Portuguese,0
2018-02-26 03:30:00.000,Live,True Beginner,Portuguese,0
2018-02-26 03:30:00.000,Live,Intermediate,Spanish,0
2018-02-26 03:30:00.000,Private,High Beginner,Portuguese,0
2018-02-26 03:30:00.000,Private,True Beginner,Spanish,0
2018-02-26 03:30:00.000,Live,True Beginner,Spanish,0
2018-02-26 03:30:00.000,Private,High Beginner,Spanish,0
2018-02-26 03:30:00.000,Live,High Beginner,Portuguese,0
2018-02-26 04:00:00.000,Live,High Beginner,Portuguese,0
2018-02-26 04:00:00.000,Private,High Beginner,Spanish,0
2018-02-26 04:00:00.000,Live,True Beginner,Spanish,0
2018-02-26 04:00:00.000,Private,True Beginner,Spanish,0
2018-02-26 04:00:00.000,Private,High Beginner,Portuguese,0
2018-02-26 04:00:00.000,Live,Intermediate,Spanish,0
2018-02-26 04:00:00.000,Live,True Beginner,Portuguese,0
2018-02-26 04:00:00.000,Private,True Beginner,Portuguese,0
2018-02-26 04:00:00.000,Live,Intermediate,Portuguese,0
2018-02-26 04:00:00.000,Private,Intermediate,Spanish,0
2018-02-26 04:00:00.000,Live,High Beginner,Spanish,0
2018-02-26 04:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 04:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 04:30:00.000,Live,High Beginner,Spanish,0
2018-02-26 04:30:00.000,Private,Intermediate,Spanish,0
2018-02-26 04:30:00.000,Live,Intermediate,Portuguese,0
2018-02-26 04:30:00.000,Private,True Beginner,Portuguese,0
2018-02-26 04:30:00.000,Live,True Beginner,Portuguese,0
2018-02-26 04:30:00.000,Live,Intermediate,Spanish,1
2018-02-26 04:30:00.000,Private,High Beginner,Portuguese,0
2018-02-26 04:30:00.000,Private,True Beginner,Spanish,0
2018-02-26 04:30:00.000,Live,True Beginner,Spanish,0
2018-02-26 04:30:00.000,Private,High Beginner,Spanish,0
2018-02-26 04:30:00.000,Live,High Beginner,Portuguese,0
2018-02-26 05:00:00.000,Live,High Beginner,Portuguese,0
2018-02-26 05:00:00.000,Private,High Beginner,Spanish,0
2018-02-26 05:00:00.000,Live,True Beginner,Spanish,0
2018-02-26 05:00:00.000,Private,True Beginner,Spanish,0
2018-02-26 05:00:00.000,Private,High Beginner,Portuguese,0
2018-02-26 05:00:00.000,Live,Intermediate,Spanish,2
2018-02-26 05:00:00.000,Live,True Beginner,Portuguese,0
2018-02-26 05:00:00.000,Private,True Beginner,Portuguese,0
2018-02-26 05:00:00.000,Live,Intermediate,Portuguese,0
2018-02-26 05:00:00.000,Private,Intermediate,Spanish,0
2018-02-26 05:00:00.000,Live,High Beginner,Spanish,0
2018-02-26 05:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 05:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 05:30:00.000,Live,High Beginner,Spanish,0
2018-02-26 05:30:00.000,Private,Intermediate,Spanish,0
2018-02-26 05:30:00.000,Live,Intermediate,Portuguese,0
2018-02-26 05:30:00.000,Private,True Beginner,Portuguese,0
2018-02-26 05:30:00.000,Live,True Beginner,Portuguese,1
2018-02-26 05:30:00.000,Live,Intermediate,Spanish,2
2018-02-26 05:30:00.000,Private,High Beginner,Portuguese,0
2018-02-26 05:30:00.000,Private,True Beginner,Spanish,0
2018-02-26 05:30:00.000,Live,True Beginner,Spanish,0
2018-02-26 05:30:00.000,Private,High Beginner,Spanish,0
2018-02-26 05:30:00.000,Live,High Beginner,Portuguese,1
2018-02-26 06:00:00.000,Live,High Beginner,Portuguese,2
2018-02-26 06:00:00.000,Private,High Beginner,Spanish,0
2018-02-26 06:00:00.000,Live,True Beginner,Spanish,0
2018-02-26 06:00:00.000,Private,True Beginner,Spanish,0
2018-02-26 06:00:00.000,Private,High Beginner,Portuguese,0
2018-02-26 06:00:00.000,Live,Intermediate,Spanish,3
2018-02-26 06:00:00.000,Live,True Beginner,Portuguese,1
2018-02-26 06:00:00.000,Private,True Beginner,Portuguese,0
2018-02-26 06:00:00.000,Live,Intermediate,Portuguese,1
2018-02-26 06:00:00.000,Private,Intermediate,Spanish,0
2018-02-26 06:00:00.000,Live,High Beginner,Spanish,0
2018-02-26 06:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 06:30:00.000,Private,Intermediate,Portuguese,0
2018-02-26 06:30:00.000,Live,High Beginner,Spanish,0
2018-02-26 06:30:00.000,Private,Intermediate,Spanish,0
2018-02-26 06:30:00.000,Live,Intermediate,Portuguese,1
2018-02-26 06:30:00.000,Private,True Beginner,Portuguese,0
2018-02-26 06:30:00.000,Live,True Beginner,Portuguese,1
2018-02-26 06:30:00.000,Live,Intermediate,Spanish,3
2018-02-26 06:30:00.000,Private,High Beginner,Portuguese,0
2018-02-26 06:30:00.000,Private,True Beginner,Spanish,0
2018-02-26 06:30:00.000,Live,True Beginner,Spanish,2
2018-02-26 06:30:00.000,Private,High Beginner,Spanish,1
2018-02-26 06:30:00.000,Live,High Beginner,Portuguese,2
2018-02-26 07:00:00.000,Live,High Beginner,Portuguese,2
2018-02-26 07:00:00.000,Private,High Beginner,Spanish,1
2018-02-26 07:00:00.000,Live,True Beginner,Spanish,2
2018-02-26 07:00:00.000,Private,True Beginner,Spanish,1
2018-02-26 07:00:00.000,Private,High Beginner,Portuguese,1
2018-02-26 07:00:00.000,Live,Intermediate,Spanish,4
2018-02-26 07:00:00.000,Live,True Beginner,Portuguese,1
2018-02-26 07:00:00.000,Private,True Beginner,Portuguese,0
2018-02-26 07:00:00.000,Live,Intermediate,Portuguese,1
2018-02-26 07:00:00.000,Private,Intermediate,Spanish,0
2018-02-26 07:00:00.000,Live,High Beginner,Spanish,0
2018-02-26 07:00:00.000,Private,Intermediate,Portuguese,0
2018-02-26 07:30:00.000,Private,Intermediate,Portuguese,0
